ticker,sector
PANW,Technology
PSKY,Communication Services
PH,Industrials
PAYX,Industrials
PAYC,Industrials
PYPL,Financials
PNR,Industrials
PEP,Consumer Staples
PFE,Healthcare
PCG,Utilities
PM,Consumer Staples
PSX,Energy
PNW,Utilities
PNC,Financials
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PFG,Financials
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PRU,Financials
PEG,Utilities
PTC,Technology
PSA,Real Estate
PHM,Consumer Discretionary
PWR,Industrials
QCOM,Technology
DGX,Healthcare
RL,Consumer Discretionary
RJF,Financials
RTX,Industrials
O,Real Estate
REG,Real Estate
REGN,Healthcare
RF,Financials
RSG,Industrials
RMD,Healthcare
RVTY,Healthcare
ROK,Industrials
ROL,Industrials
ROP,Technology
ROST,Consumer Discretionary
RCL,Consumer Discretionary
SPGI,Financials
CRM,Technology
SBAC,Real Estate
SLB,Energy
STX,Technology
SRE,Utilities
NOW,Technology
SHW,Materials
SPG,Real Estate
SWKS,Technology
SJM,Consumer Staples
SW,Materials
SNA,Industrials
SOLV,Healthcare
SO,Utilities
LUV,Industrials
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
STLD,Materials
STE,Healthcare
SYK,Healthcare
SMCI,Technology
SYF,Financials
SNPS,Technology
SYY,Consumer Staples
TMUS,Communication Services
TROW,Financials
TTWO,Communication Services
TPR,Consumer Discretionary
TRGP,Energy
TGT,Consumer Staples
TEL,Technology
TDY,Technology
TER,Technology
TSLA,Consumer Discretionary
TXN,Technology
TPL,Energy
TXT,Industrials
TMO,Healthcare
TJX,Consumer Discretionary
TKO,Communication Services
TTD,Communication Services
TSCO,Consumer Discretionary
TT,Industrials
TDG,Industrials
TRV,Financials
TRMB,Technology
TFC,Financials
TYL,Technology
TSN,Consumer Staples
USB,Financials
UBER,Industrials
UDR,Real Estate
ULTA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UPS,Industrials
URI,Industrials
UNH,Healthcare
UHS,Healthcare
VLO,Energy
VTR,Real Estate
VLTO,Industrials
VRSN,Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Healthcare
VTRS,Healthcare
VICI,Real Estate
V,Financials
VST,Utilities
VMC,Materials
WRB,Financials
GWW,Industrials
WAB,Industrials
WBA,Consumer Staples
WMT,Consumer Staples
DIS,Communication Services
WBD,Communication Services
WM,Industrials
WAT,Healthcare
WEC,Utilities
WFC,Financials
WELL,Real Estate
WST,Healthcare
WDC,Technology
WY,Real Estate
WSM,Consumer Discretionary
WMB,Energy
WTW,Financials
WDAY,Technology
WYNN,Consumer Discretionary
XEL,Utilities
XYL,Industrials
YUM,Consumer Discretionary
ZBRA,Technology
ZBH,Healthcare
ZTS,Healthcare
